CO_FRAC_RA,x,y,plata,tiemposMin,POB
1_1_1,-58.3682534,-34.58712585,7.5,21.53333333,246
1_12_1,-58.385199,-34.60504298,7.5,10.8,201
1_12_10,-58.37684868,-34.60525013,0,3.083333333,208
1_12_11,-58.37161247,-34.60570903,0,3.316666667,342
1_12_2,-58.3837805,-34.60495288,6.25,11.43333333,146
1_12_3,-58.382292,-34.60542919,7.5,9.3,450
1_12_4,-58.38371715,-34.60616486,6,12.01666667,244
1_12_5,-58.38508496,-34.6068434,6,13.8,322
1_12_6,-58.38289837,-34.60728266,7.5,11.15,250
1_12_7,-58.38430082,-34.60855435,7.5,9.883333333,503
1_12_8,-58.38214644,-34.60840148,7.5,8.75,213
1_12_9,-58.37864829,-34.60705977,0,6.683333333,770
1_13_1,-58.36505704,-34.60198852,6,22.01666667,395
1_13_4,-58.36464491,-34.60851244,6,22.6,428
1_13_13,-58.36428877,-34.61566067,6.25,22.91666667,211
1_13_9,-58.36212138,-34.61382814,6.25,24.33333333,221
1_13_10,-58.35896257,-34.6148278,6.25,29.85,284
1_13_11,-58.36090704,-34.61723081,6.25,28.13333333,157
1_14_1,-58.37398169,-34.61034009,0,8.85,355
1_14_10,-58.37129865,-34.61585077,6.25,17.43333333,260
1_14_11,-58.3732577,-34.61592229,6.25,18.75,326
1_14_12,-58.37469179,-34.61599974,6,20.23333333,274
1_14_2,-58.36941724,-34.61013128,7.5,9.483333333,727
1_14_3,-58.37205543,-34.61237563,6.25,14.46666667,238
1_14_4,-58.37345401,-34.61246386,6.25,15.18333333,37
1_14_5,-58.37480538,-34.61369598,6,17.88333333,290
1_14_6,-58.37334984,-34.614192,6,19.91666667,388
1_14_7,-58.36954308,-34.6134185,6.25,13.76666667,257
1_14_8,-58.36816709,-34.61509107,6.25,16.88333333,227
1_14_9,-58.37134698,-34.61467351,6.25,17.46666667,296
1_15_1,-58.37952449,-34.6098527,7.5,8.066666667,439
1_15_10,-58.37957278,-34.61746924,7.5,11.08333333,345
1_15_11,-58.3775065,-34.61735984,7.5,13.58333333,344
1_15_2,-58.37696475,-34.61060905,0,10.21666667,421
1_15_3,-58.37983884,-34.61232862,7.5,9.55,249
1_15_4,-58.376764,-34.61306582,7.5,9.783333333,373
1_15_5,-58.37903931,-34.6140088,7.5,9.383333333,277
1_15_6,-58.37895958,-34.61511289,7.5,10.78333333,488
1_15_7,-58.37618871,-34.61494165,7.5,11.91666667,351
1_15_8,-58.37613398,-34.61609445,7.5,13.65,460
1_15_9,-58.37892079,-34.61624059,6.25,17.53333333,482
1_16_1,-58.38206644,-34.61014689,7.5,9.183333333,316
1_16_10,-58.39047149,-34.6124721,7.5,16.76666667,277
1_16_11,-58.38904785,-34.612371,7.5,14.83333333,242
1_16_12,-58.38760518,-34.61227292,7.5,13.08333333,201
1_16_2,-58.38350558,-34.61083709,7.5,10.6,188
1_16_3,-58.38476444,-34.60969187,7.5,10.1,576
